JOLTS Industry (mapped),JOLTS Hires Rate 2024 (%),JOLTS Job Openings Rate 2024 (%),JOLTS Quits Rate 2024 (%)
Total private,3.7,4.8,2.3
Mining and logging,3.0,3.6,1.8
Construction,4.2,3.5,1.7
Manufacturing,2.6,3.6,1.6
"Trade, transportation, and utilities",3.6,3.4,2.3
Retail trade,4.0,3.2,2.7
"Transportation, warehousing, and utilities",4.1,4.3,2.2
Information,2.6,4.0,1.4
Financial activities,2.2,4.6,1.3
Professional and business services,4.4,5.5,2.4
Private education and health services,3.2,6.2,2.1
Health care and social assistance,3.4,6.5,2.2
Leisure and hospitality,5.6,5.7,3.9
"Arts, entertainment, and recreation",6.3,5.3,2.8
Accommodation and food services,5.5,5.8,4.1
Other services,3.7,4.7,2.5
Government,1.6,3.8,0.8
